"Sdlg","Species","Fire","FirePatch","Ht16_meas2016.cm","Ht2017.cm","Patch","Elevation","Nearby_Easting","Nearby_Northing","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","HTLCB","Dia2016","Dia2015","Ht2015.meas2016","Note1","Note2","Note3_Light","Datasheet1_2016","Light_File","DIFN","return","Date1_2016","Date2_2016","personel2","personel1","Time1","Time2","Photo","Datasheet2_2016","ShrubSpp03","Cov1.3","Ht1.3","Years","Date2017","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea3"
"42","PIPO","AMRC","AMRC-NW",42,51,"NW",1598,739022,4298073,22,270,1.09,10.5,0,0,0,NA,"","leaf near lens on last measurement","","Data_Sheet_AMRC_NW_JUN_21_5",37,0.093,"0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",840,61.3333333333333,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","11","10.8","11.7","13","9.9",NA,51520
"43","PIPO","AMRC","AMRC-NW",12,15,"NW",1598,739022,4298073,6,287,0.53,3.59,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",38,0.559,"0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",260,27.5,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.3","5.4","3.5","3.4","3.4",NA,7150
"44","PIPO","AMRC","AMRC-NW",18,20,"NW",1598,739022,4298073,22,22,0.59,2.19,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",39,0.871,"0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",400,32.5,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.6","6.6","2.8","4.2","2.2000000000000002",NA,13000
"46","ABCO","AMRC","AMRC-NW",48,53,"NW",1598,739022,4298073,22,22,1.7,3.6,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",41,0.801,"0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","ARPA",490,29.5,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","18.100000000000001","19.100000000000001","5.8","4.7","3.6",NA,14455
"48","ABCO","AMRC","AMRC-NW",68,78,"NW",1598,739022,4298073,19,22,1.95,12.75,0,0,0,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",43,0.841,"0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",360,27.5555555555556,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","20.9","20.5","4.0999999999999996","5.7","12.9",NA,9920
"51","ABCO","AMRC","AMRC-NE",51,66,"NE",1966,739619,4297391,17,188,1.18,7.7,0,0.61,0.89,47,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",195,0.042,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",990,40,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","12.8","12","7.5","8.1","7.6",NA,39600
"52","ABCO","AMRC","AMRC-NE",38,42,"NE",1966,739619,4297391,17,188,0.8,4.55,0,0.39,0.5,27,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",196,0.28,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",930,50,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","8.1999999999999993","8.4","6.7","5.2","4.5",NA,46500
"53","ABCO","AMRC","AMRC-NE",27,32,"NE",1966,739619,4297391,17,188,0.69,10.13,0,0.44,0.87,8,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",197,0.154,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",1020,49.7222222222222,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.3","6.1","3.9","9.5","10.4",NA,50716.6666666667
"54","ABCO","AMRC","AMRC-NE",34,48,"NE",1966,739619,4297391,17,188,1.05,2.1,0,0.44,0.52,32,"54 and 55 very close","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",198,0.32,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",910,49.4444444444444,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","11.1","10.8","7.7","5.7","1.8",NA,44994.4444444445
"55","ABCO","AMRC","AMRC-NE",58,68,"NE",1966,739619,4297391,17,188,1.2,6.39,0,0.58,0.73,50,"54 and 55 very close","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",199,0.337,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",880,48.6666666666667,0,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","13.9","14","8.4","6.7","5.6",NA,42826.6666666667
"56","ABCO","AMRC","AMRC-NE",70,84,"NE",1966,739619,4297391,17,188,1.19,13.49,0,0.57,0.69,60,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",200,0.248,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",840,46.8333333333333,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","15.1","15.5","8.6","11.5","13.7",NA,39340
"57","ABCO","AMRC","AMRC-NE",28,35,"NE",1966,739619,4297391,17,188,0.64,2.46,0,0.4,0.5,22,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",201,0.234,"0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",960,42.3333333333333,0,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.5","5.3","5.5","5.2","3",NA,40640
