"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"217",67.3,"CECO",1000,67.3,184,0.347,"AMRC-2","ABCO",0,"20160719 06:27:16",1.53,0.376
"218",89.3548387096774,"CECO",930,89.3548387096774,185,0.185,"AMRC-2","ABCO",0,"20160719 06:30:49",2.54,0.203
"219",80.3191489361702,"CECO",940,80.3191489361702,186,0.343,"AMRC-2","PIPO",0,"20160719 06:34:05",1.87,0.312
"22",126.5,"PREM",600,126.5,0,0,"FRDS-JB","PIPO",0,NA,NA,NA
"220",91.4173228346457,"CECO",1270,91.4173228346457,187,0.515,"AMRC-2","PIPO",0,"20160719 06:39:16",1.04,0.502
"221",81.4,"CECO",1000,81.4,188,0.625,"AMRC-2","ABCO",0,"20160719 06:45:56",0.58,0.688
"222",70.9090909090909,"CECO",990,70.9090909090909,189,0.203,"AMRC-2","PIPO",0,"20160719 06:51:57",2.29,0.221
"223",68.2075471698113,"CECO",1060,68.2075471698113,190,0.321,"AMRC-2","ABCO",0,"20160719 06:56:01",1.59,0.357
"224",68.2075471698113,"CECO",1060,68.2075471698113,191,0.535,"AMRC-2","ABCO",0,"20160719 06:58:48",0.76,0.628
"225",67.4285714285714,"CECO",1050,67.4285714285714,192,0.38,"AMRC-2","ABCO",0,"20160719 07:01:54",1.37,0.421
"226",73.448275862069,"CECO",870,73.448275862069,193,0.44,"AMRC-2","ABCO",0,"20160719 07:07:01",1.21,0.465
"227",60.6315789473684,"CECO",950,60.6315789473684,203,0.503,"AMRC-NE","ABCO",0,"20160720 05:49:44",0.86,0.58
"228",60.6315789473684,"CECO",950,60.6315789473684,204,0.498,"AMRC-NE","ABCO",0,"20160720 05:52:37",0.9,0.554
"229",65.7575757575758,"CECO",1320,65.7575757575758,205,0.166,"AMRC-NE","ABCO",0,"20160720 05:58:30",2.5,0.198
"23",146.029411764706,"CEIN",680,146.029411764706,0,0,"FRDS-JB","PIPO",0,NA,NA,NA
"230",69.8666666666667,"ARPA",750,69.8666666666667,206,0.432,"AMRC-NE","ABCO",0,"20160720 06:02:50",1.14,0.517
"231",69.8666666666667,"ARPA",750,69.8666666666667,207,0.305,"AMRC-NE","ABCO",0,"20160720 06:04:46",1.65,0.358
"232",75.8139534883721,"ARPA",860,75.8139534883721,208,0.095,"AMRC-NE","ABCO",0,"20160720 06:06:31",3.36,0.105
"233",53.7234042553191,"QUVA",940,53.7234042553191,209,0.158,"AMRC-NE","ABCO",0,"20160720 06:10:03",2.62,0.186
"234",36.2295081967213,"QUVA",610,36.2295081967213,210,0.183,"AMRC-NE","PIPO",0,"20160720 06:13:02",2.77,0.221
"235",49.1566265060241,"ARPA",830,49.1566265060241,211,0.625,"AMRC-NE","ABCO",0,"20160720 06:14:44",0.58,0.679
"236",49.1566265060241,"ARPA",830,49.1566265060241,212,0.42,"AMRC-NE","ABCO",0,"20160720 06:16:31",1.18,0.457
"237",53.6559139784946,"QUVA",930,53.6559139784946,213,0.549,"AMRC-NE","PIPO",0,"20160720 06:19:52",0.75,0.625
"238",53.6559139784946,"QUVA",930,53.6559139784946,214,0.45,"AMRC-NE","PIPO",0,"20160720 06:21:33",1.06,0.529
"239",77.1276595744681,"ARPA",940,77.1276595744681,215,0.627,"AMRC-NE","PIPO",0,"20160720 06:23:55",0.6,0.688
"240",63.4615384615385,"ARPA",1040,63.4615384615385,216,0.454,"AMRC-NE","ABCO",0,"20160720 06:25:36",1.2,0.452
"241",68.8888888888889,"ARPA",810,68.8888888888889,217,0.215,"AMRC-NE","PIPO",0,"20160720 06:27:42",2.18,0.238
"242",59.3333333333333,"ARPA",900,59.3333333333333,218,0.223,"AMRC-NE","ABCO",0,"20160720 06:32:48",2.17,0.249
"243",59.3333333333333,"ARPA",900,59.3333333333333,219,0.28,"AMRC-NE","ABCO",0,"20160720 06:34:54",1.9,0.301
"244",69.3055555555556,"ARPA",720,69.3055555555556,220,0.481,"AMRC-NE","PIPO",0,"20160720 06:37:30",0.95,0.539
"245",54.0196078431373,"CECO",1020,54.0196078431373,221,0.086,"AMRC-NE","ABCO",0,"20160720 06:40:41",3.57,0.096
