"Sdlg","Fire","FirePatch","Elevation","Species","Slope.Deg","Aspect.deg","Ht.cm","BasDia.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","Ht2015.meas2016","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","ShrG1","IAG","ref","Years","Date","LAI","DIFN.53"
"22","FRDS","FRDS-JB",1568,"PIPO",18,90,91,2.3,12.5,1,NA,"PREM",100,NA,"PREM","PREM","PREM",200,190,170,66,78,106.666666666667,390,560,72,83.5555555555556,"Other",0,0,12,"20160408 11:15:17",0,0
"23","FRDS","FRDS-JB",1568,"PIPO",18,90,41,1.6,9.5,1,NA,"PREM",100,NA,"PREM","PREM","CEIN",250,210,200,131.666666666667,98,126.666666666667,460,660,114.833333333333,118.777777777778,"Other",0,0,12,"20160408 11:15:17",0,0
"24","FRDS","FRDS-JB",1568,"CADE",18,90,230,7.8,NA,1,NA,"none",0,NA,"PREM","PREM","PREM",20,210,200,47.5,97.5,63.3333333333333,230,430,72.5,69.4444444444444,"Other",0,0,12,"20160408 11:15:17",0,0
"25","FRDS","FRDS-JB",1568,"CADE",18,110,180,4.2,NA,1,NA,"CEIN",200,NA,"CEIN","CEIN","CEIN",200,190,360,122,141.666666666667,122,390,750,131.833333333333,128.555555555556,"Ceanothus",0,0,12,"20160408 11:15:17",0,0
"26","FRDS","FRDS-A",NA,"PIPO",18,130,90,1.6,9,151,0.332,"CEIN",210,NA,"CEIN","CEIN","CEIN",310,410,330,210,176,187.5,720,1050,193,191.166666666667,"Ceanothus",0,0,12,"20160708 05:24:25",2.21,0.231
"27","FRDS","FRDS-A",NA,"PIPO",3,80,72,4.6,8.5,152,0.208,"CEIN",200,NA,"CEIN","CEIN","CEIN",400,300,330,225,193.333333333333,200,700,1030,209.166666666667,206.111111111111,"Ceanothus",0,0,12,"20160708 05:29:59",2.4,0.219
"28","AMCR","AMCR-A",1658,"ABCO",28,250,84,1.92,16,1,NA,"CECO",100,NA,"CECO","CECO","CECO",380,340,320,87.5,85,86.6666666666667,720,1040,86.25,86.3888888888889,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"35","AMCR","AMCR-NW",1598,"PILA",28,250,32,1,2.3,163,0.734,"none",0,NA,"LIDE","LIDE","LIDE",180,60,110,22.5,32.5,35,240,350,27.5,30,"LIDE",0,0,8,"20160708 06:18:21",0.37,0.791
"36","AMCR","AMCR-NW",1598,"PIPO",28,250,32,1.35,5.57,164,0,"none",0,NA,"none","LIDE","LIDE",0,50,110,0,7.5,15,50,160,3.75,7.5,"Other",0,0,8,"20160708 06:44:57",1.91,0.283
"37","AMCR","AMCR-NW",1598,"PSME",28,250,23,0.88,2.87,165,0.533,"none",0,NA,"none","none","none",0,0,0,0,0,0,0,0,0,0,"Other",0,0,8,"20160708 07:00:25",0,0
"38","AMCR","AMCR-NW",1598,"PIPO",28,250,24,1.21,3.6,166,0.86,"none",0,NA,"none","none","LIDE",0,0,150,0,0,32.5,0,150,0,10.8333333333333,"Other",0,0,8,"20160708 07:01:36",2.43,0.204
"39","AMCR","AMCR-NW",1598,"PIPO",28,250,50,1.7,4.29,167,0.714,"none",0,NA,"none","LIDE","LIDE",0,70,180,0,22.5,50,70,250,11.25,24.1666666666667,"Other",0,0,8,"20160708 07:14:58",0,0
"40","AMCR","AMCR-NW",1598,"PIPO",28,250,22,0.68,2.81,168,0.708,"none",0,NA,"LIDE","LIDE","LIDE",100,230,200,37.5,47.5,57.5,330,530,42.5,47.5,"LIDE",0,0,8,"20160708 07:15:43",0.22,0.864
"41","AMCR","AMCR-NW",1598,"PIPO",22,270,91,3.5,11.12,169,0.369,"none",0,NA,"LIDE","LIDE","LIDE",40,200,340,15,42.5,58,240,580,28.75,38.5,"LIDE",0,0,8,"20160719 05:39:32",1.65,0.333
"42","AMCR","AMCR-NW",1598,"PIPO",22,270,42,1.09,10.5,170,0.093,"UNKNOAK",40,NA,"LIDE","LIDE","LIDE",250,260,330,48,70,66,510,840,59,61.3333333333333,"LIDE",0,0,8,"20160719 05:43:00",2.5,0.187
"43","AMCR","AMCR-NW",1598,"PIPO",6,287,12,0.53,3.59,171,0.559,"none",0,NA,"LIDE","LIDE","LIDE",20,100,140,12.5,20,50,120,260,16.25,27.5,"LIDE",0,0,8,"20160719 05:46:54",3.17,0.137
"44","AMCR","AMCR-NW",1598,"PIPO",22,22,18,0.59,2.19,172,0.871,"none",0,NA,"LIDE","LIDE","LIDE",30,110,260,15,27.5,55,140,400,21.25,32.5,"LIDE",0,0,8,"20160719 05:51:37",2.9,0.15
"45","AMCR","AMCR-NW",1598,"PILA",22,22,45,0.81,7.45,174,0.142,"LIDE",50,NA,"LIDE","LIDE","LIDE",210,160,160,36,35,42.5,370,530,35.5,37.8333333333333,"LIDE",0,0,8,"20160719 05:58:44",0.65,0.663
"46","AMCR","AMCR-NW",1598,"ABCO",22,22,48,1.7,3.6,175,0.801,"none",0,NA,"ARNE","LIDE","ARPA",80,120,290,7.5,25,56,200,490,16.25,29.5,"Arcto",0,0,8,"20160719 06:00:52",1.37,0.412
"47","AMCR","AMCR-NW",1598,"PSME",19,22,59,1.48,7.92,176,0.938,"none",0,NA,"none","LIDE","LIDE",0,120,170,0,30,32.5,120,290,15,20.8333333333333,"Other",0,0,8,"20160719 06:04:32",0.9,0.638
"48","AMCR","AMCR-NW",1598,"ABCO",19,22,68,1.95,12.75,177,0.841,"none",0,NA,"LIDE","conifer","LIDE",40,120,200,20,31,31.6666666666667,160,360,25.5,27.5555555555556,"LIDE",0,0,8,"20160719 06:06:54",2.04,0.316
"49","AMCR","AMCR-NW",1598,"PSME",19,22,15,0.35,2.75,178,0.471,"ARPA",100,NA,"ARPA","ARPA","ARPA",200,40,30,60,12.5,12.5,240,270,36.25,28.3333333333333,"Arcto",0,0,8,"20160719 06:10:55",0.91,0.57
"50","AMCR","AMCR-NE",1966,"PILA",17,188,56,0.91,6.77,88,0.401,"CHSE",60,43,"CHSE","CHSE","CHSE",310,280,380,46,42.5,57.5,590,970,44.25,48.6666666666667,"CHSE",0,0,8,"20160624 12:50:20",0.85,0.602
"51","AMCR","AMCR-NE",1966,"ABCO",17,188,51,1.18,7.7,89,0.042,"none",0,47,"CHSE","CHSE","CHSE",270,330,390,35,40,45,600,990,37.5,40,"CHSE",0,0,8,"20160624 13:00:58",0.28,0.83
"52","AMCR","AMCR-NE",1966,"ABCO",17,188,38,0.8,4.55,90,0.28,"ARPA",40,27,"CHSE","CHSE","CHSE",360,260,310,45,53.3333333333333,51.6666666666667,620,930,49.1666666666667,50,"CHSE",0,0,8,"20160624 13:04:10",0.29,0.828
"53","AMCR","AMCR-NE",1966,"ABCO",17,188,27,0.69,10.13,91,0.154,"CHSE",36,8,"CHSE","CHSE","CHSE",380,320,320,55,47.5,46.6666666666667,700,1020,51.25,49.7222222222222,"CHSE",0,0,8,"20160628 05:21:59",3.22,0.127
"54","AMCR","AMCR-NE",1966,"ABCO",17,188,34,1.05,2.1,92,0.32,"CHSE",54,32,"CHSE","CHSE","CHSE",300,330,280,48.3333333333333,50,50,630,910,49.1666666666667,49.4444444444444,"CHSE",0,0,8,"20160628 05:33:47",0.14,0.916
"55","AMCR","AMCR-NE",1966,"ABCO",17,188,58,1.2,6.39,93,0.337,"none",0,50,"CHSE","CHSE","CHSE",270,330,280,46,50,50,600,880,48,48.6666666666667,"CHSE",0,0,8,"20160628 05:57:56",3.51,0.118
"56","AMCR","AMCR-NE",1966,"ABCO",17,188,70,1.19,13.49,95,0.248,"CHSE",80,60,"CHSE","CHSE","CHSE",270,270,300,52.5,40,48,540,840,46.25,46.8333333333333,"CHSE",0,0,8,"20160628 06:24:06",4.68,0.053
"57","AMCR","AMCR-NE",1966,"ABCO",17,188,28,0.64,2.46,96,0.234,"none",0,22,"CHSE","CHSE","CHSE",310,350,300,35,46,46,660,960,40.5,42.3333333333333,"CHSE",0,0,8,"20160629 05:23:06",0.88,0.577
"58","AMCR","AMCR-NE",1966,"ABCO",17,188,30,0.51,3.03,97,0.149,"CHSE",47,25,"CHSE","CHSE","CHSE",380,240,320,42.5,50,52,620,940,46.25,48.1666666666667,"CHSE",0,0,8,"20160629 05:27:45",3.28,0.119
"60","AMCR","AMCR-NW",1601,"CADE",14,127,14.36,0.75,NA,179,0.648,"none",0,NA,"ARPA","ARNE","ARNE",170,150,150,14,17.5,15,320,470,15.75,15.5,"Arcto",0,0,8,"20160719 06:13:56",1.17,0.464
"61","AMCR","AMCR-NW",1601,"ABCO",14,127,29,0.77,4.49,180,0.413,"ARPA",40,NA,"ARPA","ARPA","ARPA",260,50,50,44,12.5,25,310,360,28.25,27.1666666666667,"Arcto",0,0,8,"20160719 06:16:27",2.04,0.255
"62","AMCR","AMCR-NW",1601,"PIPO",14,135,52,1.24,9.67,181,0.338,"ARPA",64,NA,"ARPA","ARPA","ARPA",220,190,200,38,42.5,36,410,610,40.25,38.8333333333333,"Arcto",0,0,8,"20160719 06:18:59",0.81,0.594
"63","AMCR","AMCR-NW",1601,"PIPO",14,140,15,0.45,2.72,182,0.726,"none",0,NA,"ARNE","ARNE","ARPA",290,110,190,22.8571428571429,40,35,400,590,31.4285714285714,32.6190476190476,"Arcto",0,0,8,"20160719 06:21:38",2.62,0.181
"64","AMCR","AMCR-NW",1601,"PIPO",14,140,78,2.69,14.95,183,0.292,"ARPA",78,NA,"ARPA","ARPA","ARPA",270,110,110,36,32.5,26,380,490,34.25,31.5,"Arcto",0,0,8,"20160719 06:24:36",1.41,0.415
"65","AMCR","AMCR-NW",1601,"PIPO",14,140,67,1.59,16.21,184,0.298,"ARPA",70,NA,"ARPA","ARPA","ARPA",190,90,100,65,37.5,15,280,380,51.25,39.1666666666667,"Arcto",0,0,8,"20160719 06:27:16",1.53,0.376
"66","AMCR","AMCR-NW",1601,"PILA",9,158,20,0.44,3.44,185,0.311,"ARPA",100,NA,"ARPA","ARPA","ARPA",510,140,10,47.5,36,2.5,650,660,41.75,28.6666666666667,"Arcto",0,0,8,"20160719 06:30:49",2.54,0.203
"67","AMCR","AMCR-NW",1601,"PILA",12,185,31,0.97,2.47,186,0.736,"ARPA",40,NA,"ARPA","ARPA","ARPA",240,110,0,45,32.5,0,350,350,38.75,25.8333333333333,"Arcto",0,0,8,"20160719 06:34:05",1.87,0.312
"68","AMCR","AMCR-NW",1601,"CADE",12,185,24,0.93,NA,187,0.369,"ARPA",50,NA,"ARPA","ARPA","ARPA",220,220,140,52,30,25,440,580,41,35.6666666666667,"Arcto",0,0,8,"20160719 06:39:16",1.04,0.502
"69","AMCR","AMCR-NW",1601,"PIPO",12,185,14,0.51,1.79,188,0.385,"ARPA",35,NA,"ARPA","ARPA","ARPA",130,100,70,35,20,25,230,300,27.5,26.6666666666667,"Arcto",0,0,8,"20160719 06:45:56",0.58,0.688
"70","AMCR","AMCR-NW",1601,"CADE",12,185,37,1.33,NA,189,0.539,"ARPA",40,NA,"ARPA","ARPA","ARPA",220,150,120,28.3333333333333,30,30,370,490,29.1666666666667,29.4444444444444,"Arcto",0,0,8,"20160719 06:51:57",2.29,0.221
"71","AMCR","AMCR-NW",1601,"PIPO",14,235,29,0.76,3.81,190,0.182,"ARPA",75,NA,"ARPA","ARPA","ARPA",430,270,370,70,51.4285714285714,41.6666666666667,700,1070,60.7142857142857,54.3650793650794,"Arcto",0,0,8,"20160719 06:56:01",1.59,0.357
"72","AMCR","AMCR-NW",1601,"PIPO",12,210,23,0.78,3.94,191,0.427,"ARPA",63,NA,"ARPA","ARPA","ARPA",210,340,260,28.3333333333333,50,67.5,550,810,39.1666666666667,48.6111111111111,"Arcto",0,0,8,"20160719 06:58:48",0.76,0.628
"73","AMCR","AMCR-2",1672,"ABCO",21,299,55,1.06,10.26,192,0.088,"CECO",80,37,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Ceanothus",0,0,8,"20160719 07:01:54",1.37,0.421
"74","AMCR","AMCR-2",1672,"ABCO",21,299,57,1.1,8.74,192,0.088,"CECO",100,39,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Ceanothus",0,0,8,"20160719 07:01:54",1.37,0.421
"75","AMCR","AMCR-2",1672,"ABCO",21,299,49,0.92,7.65,192,0.088,"CECO",100,45,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Ceanothus",0,0,8,"20160719 07:01:54",1.37,0.421
"76","AMCR","AMCR-2",1672,"ABCO",11,303,52,1.26,9.59,193,0.443,"CECO",60,29,"CECO","CECO","CECO",410,440,370,48,54,38,850,1220,51,46.6666666666667,"Ceanothus",0,0,8,"20160719 07:07:01",1.21,0.465
"77","AMCR","AMCR-2",1701,"ABCO",15,290,31,0.59,2.86,194,0.123,"ARPA",83,24,"CECO","CECO","CECO",540,260,340,70,71.6666666666667,58.3333333333333,800,1140,70.8333333333333,66.6666666666667,"Ceanothus",0,0,8,"20160720 05:22:22",1.27,0.438
"78","AMCR","AMCR-2",1701,"ABCO",15,290,38,0.83,3.47,195,0.115,"ARPA",140,30,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Arcto",0,0,8,"20160720 05:29:22",0.78,0.607
"79","AMCR","AMCR-2",1701,"ABCO",15,290,37,0.89,3.8,1,NA,"ARPA",135,23,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Arcto",0,0,8,"20160408 11:15:17",0,0
"80","AMCR","AMCR-2",1701,"ABCO",15,290,49,1.1,3.93,196,0.063,"CECO",100,31,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Ceanothus",0,0,8,"20160720 05:31:57",1.8,0.32
"81","AMCR","AMCR-2",1701,"ABCO",15,290,57,1.27,11.38,197,0.058,"ARPA",80,54,"CECO","CECO","CECO",400,310,130,68.5714285714286,50,26,710,840,59.2857142857143,48.1904761904762,"Ceanothus",0,0,8,"20160720 05:35:20",2.69,0.173
"82","AMCR","AMCR-2",1701,"ABCO",15,290,42,1.68,11.78,196,0.063,"ARPA",68,NA,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Ceanothus",0,0,8,"20160720 05:31:57",1.8,0.32
"83","AMCR","AMCR-2",1701,"ABCO",14,290,58,1.27,4,198,0.228,"CECO",75,40,"CECO","CECO","CECO",420,340,220,55.7142857142857,66.6666666666667,46,760,980,61.1904761904762,56.1269841269841,"Ceanothus",0,0,8,"20160720 05:38:01",1.59,0.349
"84","AMCR","AMCR-2",1701,"PIPO",14,290,95,2.75,8.12,1,NA,"none",0,NA,"CECO","CECO","CECO",430,340,220,52.5,66.6666666666667,46,770,990,59.5833333333333,55.0555555555556,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"85","AMCR","AMCR-2",1701,"ABCO",14,290,68,1.72,5.86,199,0.068,"CECO",70,60,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Ceanothus",0,0,8,"20160720 05:40:08",1.57,0.35
"86","AMCR","AMCR-2",1701,"ABCO",14,290,45,1.18,3.57,199,0.068,"CECO",80,33,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Ceanothus",0,0,8,"20160720 05:40:08",1.57,0.35
"87","AMCR","AMCR-2",1701,"ABCO",14,290,72,2.16,10.67,199,0.068,"CECO",77,61,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Ceanothus",0,0,8,"20160720 05:40:08",1.57,0.35
"88","AMCR","AMCR-2",1701,"ABCO",23,290,47,0.99,12.58,200,0.219,"CECO",115,28,"CECO","CECO","CECO",420,360,280,62,60,50,780,1060,61,57.3333333333333,"Ceanothus",0,0,8,"20160720 05:42:15",1.99,0.269
"89","AMCR","AMCR-2",1701,"ABCO",23,290,55,1.05,7,201,0.214,"ARPA",90,37,"CECO","CECO","CECO",360,250,120,60,38,27.5,610,730,49,41.8333333333333,"Ceanothus",0,0,8,"20160720 05:44:30",2.07,0.26
"90","AMCR","AMCR-2",1701,"ABCO",16,290,41,1.1,4,202,0.198,"CECO",80,35,"CECO","CECO","CECO",390,400,370,62.5,65,72,790,1160,63.75,66.5,"Ceanothus",0,0,8,"20160720 05:46:46",2.78,0.167
"91","AMCR","AMCR-2",1701,"ABCO",16,290,20,0.4,3.96,203,0.134,"ARPA",90,NA,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Arcto",0,0,8,"20160720 05:49:44",0.86,0.58
"92","AMCR","AMCR-2",1701,"ABCO",16,290,11,0.4,3.42,203,0.134,"ARPA",80,NA,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Arcto",0,0,8,"20160720 05:49:44",0.86,0.58
"93","AMCR","AMCR-2",1701,"ABCO",16,290,18,0.48,2.27,203,0.134,"ARPA",95,NA,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Arcto",0,0,8,"20160720 05:49:44",0.86,0.58
"94","AMCR","AMCR-2",1701,"ABCO",16,290,54,1.1,7.8,204,0.166,"ARPA",113,35,"ARPA","ARPA","CECO",410,390,370,86.6666666666667,42.5,53.3333333333333,800,1170,64.5833333333333,60.8333333333333,"Arcto",0,0,8,"20160720 05:52:37",0.9,0.554
"95","AMCR","AMCR-2",1701,"ABCO",16,290,72,2.21,11.5,205,0.047,"CECO",90,50,"CECO","CECO","CECO",380,450,410,74,61.6666666666667,65,830,1240,67.8333333333333,66.8888888888889,"Ceanothus",0,0,8,"20160720 05:58:30",2.5,0.198
"96","AMCR","AMCR-2",1701,"ABCO",16,290,50,1.22,11.27,205,0.047,"CECO",100,NA,"CECO","CECO","CECO",380,450,410,74,61.6666666666667,65,830,1240,67.8333333333333,66.8888888888889,"Ceanothus",0,0,8,"20160720 05:58:30",2.5,0.198
"97","AMCR","AMCR-2",1701,"ABCO",16,299,50,1.73,15.8,207,0.32,"CECO",50,NA,"CECO","CECO","CECO",250,370,310,60,68.3333333333333,70,620,930,64.1666666666667,66.1111111111111,"Ceanothus",0,0,8,"20160720 06:04:46",1.65,0.358
"98","AMCR","AMCR-2",1672,"ABCO",19,283,55,1.3,9.87,208,0.049,"CECO",90,38,"CECO","CECO","CECO",440,430,390,86.25,91.4285714285714,87.5,870,1260,88.8392857142857,88.3928571428572,"Ceanothus",0,0,8,"20160720 06:06:31",3.36,0.105
"99","AMCR","AMCR-2",1672,"ABCO",19,283,40,1.15,7.01,1,NA,"CECO",110,35,"CECO","CECO","CECO",440,430,390,86.25,91.4285714285714,87.5,870,1260,88.8392857142857,88.3928571428572,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"100","AMCR","AMCR-2",1672,"ABCO",17,311,117,2.71,20.65,1,NA,"CECO",119,75,"CECO","CECO","CECO",370,400,400,84,87.5,87.5,770,1170,85.75,86.3333333333333,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"103","AMCR","AMCR-2",1672,"ABCO",6,192,102,1.45,29.58,1,NA,"CECO",111,50,"CECO","CECO","CECO",410,360,390,88,117.5,106,770,1160,102.75,103.833333333333,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"104","AMCR","AMCR-2",1672,"ABCO",5,192,62,1.15,9.3,1,NA,"CECO",150,40,"CECO","CECO","CECO",400,400,400,127.5,117.5,120,800,1200,122.5,121.666666666667,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"105","AMCR","AMCR-2",1701,"ABCO",15,290,28,0.58,3.72,209,0.061,"ARPA",123,NA,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Arcto",0,0,8,"20160720 06:10:03",2.62,0.186
"106","AMCR","AMCR-2",1701,"ABCO",16,290,68,1.37,15.3,1,NA,"none",0,NA,"CECO","CECO","CECO",400,420,410,85,71.6666666666667,74,820,1230,78.3333333333333,76.8888888888889,"Ceanothus",0,0,8,"20160408 11:15:17",0,0
"107","AMCR","AMCR-2",1701,"ABCO",18,290,46,1.1,15.2,206,0.093,"CECO",47,NA,"CECO","CECO","CECO",420,420,440,66.6666666666667,73.75,78.5714285714286,840,1280,70.2083333333333,72.9960317460317,"Ceanothus",0,0,8,"20160720 06:02:50",1.14,0.517
"108","CLVD","CLVD-SE",1402,"PIPO",21,142,202,5.85,5.09,1,NA,"none",0,NA,"ARPA","ARPA","ARPA",380,400,400,207.5,210,222.5,780,1180,208.75,213.333333333333,"Arcto",0,0,24,"20160408 11:15:17",0,0
"109","CLVD","CLVD-SE",1402,"PIPO",21,124,101,2.65,6.8,210,0.117,"none",0,NA,"ARPA","ARPA","ARPA",170,350,290,155,165,187.5,520,810,160,169.166666666667,"Arcto",0,0,24,"20160720 06:13:02",2.77,0.221
"110","CLVD","CLVD-SE",1402,"PIPO",21,124,270,6.65,3.5,211,0.821,"none",0,NA,"ARPA","ARPA","ARPA",400,400,380,195,187.5,170,800,1180,191.25,184.166666666667,"Arcto",0,0,24,"20160720 06:14:44",0.58,0.679
"111","CLVD","CLVD-SE",1402,"CADE",15,90,21,0.46,NA,212,0.101,"ARPA",190,NA,"ARPA","ARVI","ARVI",390,340,310,165,135,158.333333333333,730,1040,150,152.777777777778,"Arcto",0,0,24,"20160720 06:16:31",1.18,0.457
"112","WRTS","WRTS-1",2112,"ABCO",13,70,154,6.5,17.3,18,0.945,"none",0,NA,"CECO","CECO","CECO",60,370,400,47.5,50,57.5,430,830,48.75,51.6666666666667,"Ceanothus",0,0,35,"20160610 05:06:53",1.53,0.37
