"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"91","ABCO","AMCR","AMCR-2",20,NA,1701,16,290,0.4,3.96,"77",0.134,"ARPA",90,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Abies","Arcto","Arcto",8,"20160623 06:07:45",2.88,0.152,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,28600,60750,74516.6666666666,"0","MCE","Andisol","Xerand"
"92","ABCO","AMCR","AMCR-2",11,NA,1701,16,290,0.4,3.42,"77",0.134,"ARPA",80,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Abies","Arcto","Arcto",8,"20160623 06:07:45",2.88,0.152,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,28600,60750,74516.6666666666,"0","MCE","Andisol","Xerand"
"93","ABCO","AMCR","AMCR-2",18,NA,1701,16,290,0.48,2.27,"77",0.134,"ARPA",95,"ARPA","ARPA","ARPA",440,460,290,65,70,52.8571428571429,900,1190,67.5,62.6190476190476,"Abies","Arcto","Arcto",8,"20160623 06:07:45",2.88,0.152,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,28600,60750,74516.6666666666,"0","MCE","Andisol","Xerand"
"94","ABCO","AMCR","AMCR-2",54,57,1701,16,290,1.1,7.8,"78",0.166,"ARPA",113,"ARPA","ARPA","CECO",410,390,370,86.6666666666667,42.5,53.3333333333333,800,1170,64.5833333333333,60.8333333333333,"Abies","Arcto","Arcto",8,"20160623 06:13:07",2.56,0.18,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","11.2","11","5","9.6","7.8",NA,35533.3333333334,51666.6666666666,71175,"0","MCE","Andisol","Xerand"
"95","ABCO","AMCR","AMCR-2",72,63,1701,16,290,2.21,11.5,"79",0.047,"CECO",90,"CECO","CECO","CECO",380,450,410,74,61.6666666666667,65,830,1240,67.8333333333333,66.8888888888889,"Abies","Ceanothus","Ceanothus",8,"20160623 06:16:28",4.96,0.036,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","12.3","12.4","0.2","5.5","11.6",NA,28120,56301.6666666666,82942.2222222222,"0","MCE","Andisol","Xerand"
"96","ABCO","AMCR","AMCR-2",50,51,1701,16,290,1.22,11.27,"79",0.047,"CECO",100,"CECO","CECO","CECO",380,450,410,74,61.6666666666667,65,830,1240,67.8333333333333,66.8888888888889,"Abies","Ceanothus","Ceanothus",8,"20160623 06:16:28",4.96,0.036,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","7.3","7.4","3.6","8.5","1.7",NA,28120,56301.6666666666,82942.2222222222,"0","MCE","Andisol","Xerand"
"97","ABCO","AMCR","AMCR-2",50,60,1701,16,299,1.73,15.8,"81",0.32,"CECO",50,"CECO","CECO","CECO",250,370,310,60,68.3333333333333,70,620,930,64.1666666666667,66.1111111111111,"Abies","Ceanothus","Ceanothus",8,"20160623 06:27:59",1.64,0.336,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","16.7","17.399999999999999","11","10.4","15.8",NA,15000,39783.3333333334,61483.3333333333,"0","MCE","Andisol","Xerand"
"98","ABCO","AMCR","AMCR-2",55,46,1672,19,283,1.3,9.87,"82",0.049,"CECO",90,"CECO","CECO","CECO",440,430,390,86.25,91.4285714285714,87.5,870,1260,88.8392857142857,88.3928571428572,"Abies","Ceanothus","Ceanothus",8,"20160623 06:33:25",4.36,0.054,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","9.6999999999999993","9.8000000000000007",NA,NA,NA,"broken top, can't measure vert growth",37950,77290.1785714286,111375,"0","MCE","Andisol","Xerand"
"99","ABCO","AMCR","AMCR-2",40,44,1672,19,283,1.15,7.01,"",NA,"CECO",110,"CECO","CECO","CECO",440,430,390,86.25,91.4285714285714,87.5,870,1260,88.8392857142857,88.3928571428572,"Abies","Ceanothus","Ceanothus",8,NA,NA,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","9.9","9.1999999999999993","5.2","7.9","6.9",NA,37950,77290.1785714286,111375,"0","MCE","Andisol","Xerand"
"100","ABCO","AMCR","AMCR-2",117,NA,1672,17,311,2.71,20.65,"",NA,"CECO",119,"CECO","CECO","CECO",370,400,400,84,87.5,87.5,770,1170,85.75,86.3333333333333,"Abies","Ceanothus","Ceanothus",8,NA,NA,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,31080,66027.5,101010,"0","MCE","Andisol","Xerand"
"103","ABCO","AMCR","AMCR-2",102,NA,1672,6,192,1.45,29.58,"",NA,"CECO",111,"CECO","CECO","CECO",410,360,390,88,117.5,106,770,1160,102.75,103.833333333333,"Abies","Ceanothus","Ceanothus",8,NA,NA,NA,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,36080,79117.5,120446.666666666,"0","MCE","Andisol","Xerand"
"104","ABCO","AMCR","AMCR-2",62,70,1672,5,192,1.15,9.3,"",NA,"CECO",150,"CECO","CECO","CECO",400,400,400,127.5,117.5,120,800,1200,122.5,121.666666666667,"Abies","Ceanothus","Ceanothus",8,NA,NA,NA,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","9.4","8.9","3.9","13.5","10.8",NA,51000,98000,146000,"0","MCE","Andisol","Xerand"
"105","ABCO","AMCR","AMCR-2",28,32,1701,15,290,0.58,3.72,"86",0.061,"ARPA",123,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Abies","Arcto","Arcto",8,"20160623 06:57:07",4.08,0.071,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","6.2","5.9","5.7","2.1","3.5",NA,38614.2857142857,67067.8571428572,80608.3333333333,"0","MCE","Andisol","Xerand"
"106","ABCO","AMCR","AMCR-2",68,NA,1701,16,290,1.37,15.3,"",NA,"none",0,"CECO","CECO","CECO",400,420,410,85,71.6666666666667,74,820,1230,78.3333333333333,76.8888888888889,"Abies","Ceanothus","Other",8,NA,NA,NA,"Shrubs_Summer17_AMRC_2_Sep11",NA,"not found",NA,NA,NA,NA,NA,NA,34000,64233.3333333333,94573.3333333333,"0","MCE","Andisol","Xerand"
"107","ABCO","AMCR","AMCR-2",46,NA,1701,18,290,1.1,15.2,"80",0.093,"CECO",47,"CECO","CECO","CECO",420,420,440,66.6666666666667,73.75,78.5714285714286,840,1280,70.2083333333333,72.9960317460317,"Abies","Ceanothus","Ceanothus",8,"20160623 06:19:58",3.49,0.096,"Shrubs_Summer17_AMRC_2_Sep11",NA,"not found",NA,NA,NA,NA,NA,NA,28000,58975,93434.9206349206,"0","MCE","Andisol","Xerand"
"108","PIPO","CLVD","CLVD-SE",202,207,1402,21,142,5.85,5.09,"",NA,"none",0,"ARPA","ARPA","ARPA",380,400,400,207.5,210,222.5,780,1180,208.75,213.333333333333,"Pinus","Arcto","Other",24,NA,NA,NA,NA,"Cleveland Aerial - SE - Zoom","DONE","60.3","57.3","8.1999999999999993","9","5.4",NA,78850,162825,251733.333333333,"Holland","149","Alfisol","Xeralf"
"109","PIPO","CLVD","CLVD-SE",101,115,1402,21,124,2.65,6.8,"91",0.117,"none",0,"ARPA","ARPA","ARPA",170,350,290,155,165,187.5,520,810,160,169.166666666667,"Pinus","Arcto","Other",24,"20160628 05:21:59",3.22,0.127,NA,"Cleveland Aerial - SE - Zoom","DONE","27.2","26.3","8.8000000000000007","4.5999999999999996","7.1","top died in 2017 but didn't fall off",26350,83200,137025,"Holland","149","Alfisol","Xeralf"
"110","PIPO","CLVD","CLVD-SE",270,335,1402,21,124,6.65,3.5,"92",0.821,"none",0,"ARPA","ARPA","ARPA",400,400,380,195,187.5,170,800,1180,191.25,184.166666666667,"Pinus","Arcto","Other",24,"20160628 05:33:47",0.14,0.916,NA,"Cleveland Aerial - SE - Zoom","DONE","92","92","45","12","3.5","dbh taken with tape ; 2017 vert growth approximate",78000,153000,217316.666666667,"Holland","149","Alfisol","Xeralf"
"112","ABCO","WRTS","WRTS-1",154,201,2112,13,70,6.5,17.3,"117",0.945,"none",0,"CECO","CECO","CECO",60,370,400,47.5,50,57.5,430,830,48.75,51.6666666666667,"Abies","Ceanothus","Other",14,"20160629 20:19:20",0.06,0.96,NA,"Wrights - Aerial - 1","DONE","66.8","73.900000000000006","20.399999999999999","9.1999999999999993","17.3",NA,2850,20962.5,42883.3333333334,"0","222","Inceptisol","Xerept"
"113","ABCO","WRTS","WRTS-1",120,146,2112,16,100,5.35,14.4,"115",0.588,"none",0,"CECO","CECO","CECO",430,420,320,71.25,71.25,74,850,1170,71.25,72.1666666666667,"Abies","Ceanothus","Other",14,"20160629 20:07:43",0.63,0.677,NA,"Wrights - Aerial - 1","DONE","50.9","55.9","13","10.4","14.7",NA,30637.5,60562.5,84435,"0","222","Inceptisol","Xerept"
"115","ABCO","WRTS","WRTS-1",104,122,2112,10,270,2.1,15.69,"",NA,"CECO",140,"CECO","CECO","CECO",370,400,400,105,117.5,122.5,770,1170,111.25,115,"Abies","Ceanothus","Ceanothus",14,NA,NA,NA,NA,"Wrights - Aerial - 1","DONE","27.5","22","11.5","6.9","16.100000000000001",NA,38850,85662.5,134550,"0","222","Inceptisol","Xerept"
"116","PIPO","WRTS","WRTS-1",204,220,2112,23,60,8.24,18.7,"106",0.711,"none",0,"CECO","CECO","CECO",70,220,210,22.5,40,44,290,500,31.25,35.5,"Pinus","Ceanothus","Other",14,"20160629 19:26:30",0.44,0.758,"paper in maroon binder","Wrights - Aerial - 1","DONE","92","92","15.6","25.1","18.7",NA,1575,9062.5,17750,"0","222","Inceptisol","Xerept"
"117","ABCO","WRTS","WRTS-1",127,143,2112,23,60,3.85,7.84,"111",0.277,"none",0,"CECO","CECO","CECO",350,370,390,91.25,103.333333333333,85,720,1110,97.2916666666667,93.1944444444444,"Abies","Ceanothus","Other",14,"20160629 19:38:54",0,0,"paper in maroon binder","Wrights - Aerial - 1","DONE","42.2","40","12.7","13.4","7.6",NA,31937.5,70050,103445.833333333,"0","222","Inceptisol","Xerept"
"117","ABCO","WRTS","WRTS-1",127,143,2112,23,60,3.85,7.84,"111",0.277,"none",0,"CECO","CECO","CECO",350,370,390,91.25,103.333333333333,85,720,1110,97.2916666666667,93.1944444444444,"Abies","Ceanothus","Other",14,"20160629 19:38:54",1.96,0.271,"paper in maroon binder","Wrights - Aerial - 1","DONE","42.2","40","12.7","13.4","7.6",NA,31937.5,70050,103445.833333333,"0","222","Inceptisol","Xerept"
"118","ABCO","WRTS","WRTS-1",110,120,2112,23,60,3.16,8.42,"112",0.087,"none",0,"CECO","CECO","CECO",320,370,390,91.4285714285714,103.333333333333,85,690,1080,97.3809523809524,93.2539682539683,"Abies","Ceanothus","Other",14,"20160629 19:40:55",3.56,0.096,"paper in maroon binder","Wrights - Aerial - 1","DONE","32","32.799999999999997","9.1","9","8.1999999999999993",NA,29257.1428571428,67192.8571428571,100714.285714286,"0","222","Inceptisol","Xerept"
"119","ABCO","WRTS","WRTS-1",125,135,2112,23,60,4.89,13.3,"108",0.489,"PREM",220,"PREM","PREM","PREM",120,280,250,87.5,75,65,400,650,81.25,75.8333333333333,"Abies","Other","Other",14,"20160629 19:31:12",0.89,0.559,"paper in maroon binder","Wrights - Aerial - 1","DONE","56.2","56.6","9.8000000000000007","8.5","14",NA,10500,32500,49291.6666666666,"0","222","Inceptisol","Xerept"
"120","ABCO","WRTS","WRTS-1",102,111,2112,23,60,2.76,11.8,"109",0.316,"PREM",150,"PREM","PREM","PREM",400,350,440,114,124,114,750,1190,119,117.333333333333,"Abies","Other","Other",14,"20160629 19:33:21",1.65,0.337,"paper in maroon binder","Wrights - Aerial - 1","DONE","30.8","28.8","6.7","14.3","11.7",NA,45600,89250,139626.666666666,"0","222","Inceptisol","Xerept"
"121","PIPO","WRTS","WRTS-1",167,175,2112,23,60,3.85,2.78,"107",0.985,"none",0,"CECO","CECO","CECO",460,440,470,98.5714285714286,85.7142857142857,127.142857142857,900,1370,92.1428571428571,103.809523809524,"Pinus","Ceanothus","Other",14,"20160629 19:29:08",0.02,0.988,"paper in maroon binder","Wrights - Aerial - 1","DONE","40.299999999999997","40.799999999999997","5.4","6.4","2.6",NA,45342.8571428572,82928.5714285714,142219.047619048,"0","222","Inceptisol","Xerept"
"122","ABCO","WRTS","WRTS-1",105,111,2112,21,79,2.32,9.06,"113",0.512,"none",0,"CECO","CECO","CECO",370,400,380,87.5,84,100,770,1150,85.75,90.5,"Abies","Ceanothus","Other",14,"20160629 19:51:11",0.89,0.557,"paper in maroon binder","Wrights - Aerial - 1","DONE","23.6","21","5.8","5.0999999999999996","8.8000000000000007",NA,32375,66027.5,104075,"0","128","Inceptisol","Xerept"
"123","ABCO","WRTS","WRTS-1",95,NA,2112,25,60,2.41,8,"114",0.468,"none",0,"CECO","CECO","CECO",440,430,300,56.6666666666667,62.8571428571429,51.4285714285714,870,1170,59.7619047619048,56.984126984127,"Abies","Ceanothus","Other",14,"20160629 19:55:04",1,0.522,NA,"Wrights - Aerial - 1","could not find",NA,NA,NA,NA,NA,NA,24933.3333333333,51992.8571428572,66671.4285714286,"0","128","Inceptisol","Xerept"
"124","ABCO","WRTS","WRTS-1",79,91,2112,18,60,1.83,9.14,"",NA,"CECO",100,"CECO","CECO","CECO",390,400,400,102,85,87.5,790,1190,93.5,91.5,"Abies","Ceanothus","Ceanothus",14,NA,NA,NA,NA,"Wrights - Aerial - 1","DONE","18.3","18.600000000000001","5.5","7.4","10.4",NA,39780,73865,108885,"0","128","Inceptisol","Xerept"
"129","ABCO","FRDS","FRDS-N",24,31,1805,21,310,0.53,6.93,"99",0.07,"CHSE",160,"CHSE","CHSE","CHSE",350,240,300,137.5,76,80,590,890,106.75,97.8333333333333,"Abies","CHSE","CHSE",35,"20160629 05:36:40",3.84,0.077,NA,"Freds Topo - N - Navigation","DONE","5.4","5.9","4.5","7.9","6.9",NA,48125,62982.5,87071.6666666666,"0","149","Alfisol","Xeralf"
"131","ABCO","FRDS","FRDS-N",68,60,1805,18,330,1.04,13.17,"97",0.11,"CHSE",76,"CHSE","CHSE","CHSE",390,190,210,72.5,40,54,580,790,56.25,55.5,"Abies","CHSE","CHSE",35,"20160629 05:27:45",3.28,0.119,NA,"Freds Topo - N - Navigation","DONE","12.3","12.7",NA,NA,"13","leader broke off; 2017 and 2016 growth measurements could not be taken",28275,32625,43845,"0","149","Alfisol","Xeralf"
"132","PILA","FRDS","FRDS-N",220,253,1805,16,345,5.2,43,"96",0.579,"none",0,"CHSE","CHSE","CHSE",380,320,270,110,87.5,65,700,970,98.75,87.5,"Pinus","CHSE","Other",35,"20160629 05:23:06",0.88,0.577,NA,"Freds Topo - N - Navigation","DONE","67","71.099999999999994","23","38","43","species incorrectly recorded as PIPO; changed to PILA",41800,69125,84875,"0","149","Alfisol","Xeralf"
"133","PIPO","FRDS","FRDS-N",93,101,1805,21,130,2.79,13.36,"105",0.618,"none",0,"CECO","CECO","CECO",100,150,400,20,43.3333333333333,66,250,650,31.6666666666667,43.1111111111111,"Pinus","Ceanothus","Other",35,"20160629 06:14:27",0.48,0.745,NA,"Freds Topo - N - Navigation","DONE","32.799999999999997","33","11.5","17","14.4",NA,2000,7916.66666666668,28022.2222222222,"0","193","Inceptisol","Xerept"
"135","ABCO","WRTS","WRTS-1",18.2,NA,2112,23,60,0.4,2.48,"110",0.199,"CECO",80,"CECO","CECO","CECO",310,320,420,76,87.5,96.6666666666667,630,1050,81.75,86.7222222222222,"Abies","Ceanothus","Ceanothus",14,"20160629 19:36:26",2.3,0.222,NA,NA,"could not find",NA,NA,NA,NA,NA,NA,23560,51502.5,91058.3333333333,"0","222","Inceptisol","Xerept"
"140","PIPO","FRDS","FRDS-SE",70,70,1316,8,270,1.25,8.18,"148",0.396,"none",0,"CHFO","CHFO","CHFO",440,310,340,62,40,52.5,750,1090,51,51.5,"Pinus","CHFO","Other",35,"20160708 05:12:45",1.23,0.449,NA,"Freds Aerial SE","DONE","13.6","13.7","8.3000000000000007","12.4","8.4","0.19428571428571428",27280,38250,56135,"0","108","Inceptisol","Xerept"
"141","PIPO","FRDS","FRDS-SE",110,125,1316,8,270,3.82,14.95,"149",0.632,"none",0,"CHFO","CHFO","CHFO",100,230,360,32,65,48,330,690,48.5,48.3333333333333,"Pinus","CHFO","Other",35,"20160708 05:19:41",0.62,0.672,NA,"Freds Aerial SE","DONE","44.2","41.2","21","22.2","14.6","0.35360000000000003",3200,16005,33350,"0","108","Inceptisol","Xerept"
"142","PIPO","FRDS","FRDS-SE",145,156,1316,8,270,4.05,9.54,"150",0.689,"none",0,"CHFO","CHFO","CHFO",260,380,340,71.6666666666667,80,95,640,980,75.8333333333333,82.2222222222222,"Pinus","CHFO","Other",35,"20160708 05:21:49",0.47,0.744,NA,"Freds Aerial SE","DONE","46.4","46.9","21","23.9","8.9","0.29743589743589743",18633.3333333333,48533.3333333333,80577.7777777778,"0","108","Inceptisol","Xerept"
"143","PIPO","FRDS","FRDS-SE",35,39,1316,15,210,0.77,2.55,"151",0.205,"QUKE",140,"CHFO","CHFO","CHFO",370,540,310,106.666666666667,100,58,910,1220,103.333333333333,88.2222222222222,"Pinus","CHFO","Quercus",35,"20160708 05:24:25",2.21,0.231,NA,"Freds Aerial SE","DONE","7.5","7.7","4.3","2.8","2.9",NA,39466.6666666668,94033.333333333,107631.111111111,"0","108","Inceptisol","Xerept"
"144","PIPO","FRDS","FRDS-SE",45,42,1316,13,224,0.85,5.7,"152",0.187,"none",0,"CHFO","CHFO","CHFO",390,350,380,80,125,80,740,1120,102.5,95,"Pinus","CHFO","Other",35,"20160708 05:29:59",2.4,0.219,NA,"Freds Aerial SE","DONE","7.8","8.1999999999999993","2.7","6.5","5.6","0.18571428571428572",31200,75850,106400,"0","108","Inceptisol","Xerept"
"145","PIPO","FRDS","FRDS-SE",90,NA,1316,18,224,3.16,6.53,"153",0.351,"none",0,"CHFO","CHFO","CHFO",270,220,140,64,76.6666666666667,46,490,630,70.3333333333333,62.2222222222222,"Pinus","CHFO","Other",35,"20160708 05:33:15",1.53,0.367,NA,NA,"dead",NA,NA,NA,NA,NA,NA,17280,34463.3333333333,39200,"0","108","Inceptisol","Xerept"
"147","PIPO","FRDS","FRDS-SE",51,NA,1316,15,180,1.42,7.7,"155",0.615,"ARPA",85,"ARPA","CHFO","CHFO",280,290,310,45,40,22.5,570,880,42.5,35.8333333333333,"Pinus","Arcto","Arcto",35,"20160708 05:43:07",0.76,0.605,NA,NA,"not found",NA,NA,NA,NA,NA,NA,12600,24225,31533.3333333333,"0","108","Inceptisol","Xerept"
"148","PIPO","FRDS","FRDS-SE",19,NA,1316,15,180,0.48,4.6,"156",0.771,"none",0,"CHFO","CHFO","CHFO",190,270,320,20,27.5,27.5,460,780,23.75,25,"Pinus","CHFO","Other",35,"20160708 05:48:12",0.33,0.811,NA,NA,"not found",NA,NA,NA,NA,NA,NA,3800,10925,19500,"0","108","Inceptisol","Xerept"
"149","PIPO","FRDS","FRDS-SE",37,50,1316,20,170,0.9,6.8,"157",0.468,"none",0,"CHFO","CHFO","CHFO",260,330,270,25,37.5,34,590,860,31.25,32.1666666666667,"Pinus","CHFO","Other",35,"20160708 05:51:33",1.06,0.492,NA,"Freds Aerial SE","DONE","11.8","11.8","9.1999999999999993","5.2","6.4",NA,6500,18437.5,27663.3333333334,"0","108","Inceptisol","Xerept"
"150","PIPO","FRDS","FRDS-SE",38,42,1316,20,170,0.65,5.36,"158",0.27,"none",0,"CHFO","CHFO","CHFO",250,320,320,27.5,44,57.5,570,890,35.75,43,"Pinus","CHFO","Other",35,"20160708 05:53:41",1.82,0.3,NA,"Freds Aerial SE","DONE","6.8","7.2","5.6","10.3","5.9",NA,6875,20377.5,38270,"0","108","Inceptisol","Xerept"
"153","PIPO","FRDS","FRDS-SE",57,52,1316,20,253,1.15,9.21,"161",0.414,"none",0,"CHFO","CHFO","CHFO",280,250,360,22.5,38,42,530,890,30.25,34.1666666666667,"Pinus","CHFO","Other",35,"20160708 06:10:20",1.25,0.436,NA,"Freds Aerial SE","DONE","15","14","6.4","11.3","5.9","unsure",6300,16032.5,30408.3333333334,"0","108","Inceptisol","Xerept"
"155","PIPO","FRDS","FRDS-SE",45,NA,1316,21,190,0.91,4.2,"164",0.309,"CEIN",180,"CHFO","CHFO","CHFO",480,260,300,102.222222222222,65.7142857142857,71.6666666666667,740,1040,83.968253968254,79.8677248677249,"Pinus","CHFO","Ceanothus",35,"20160708 06:44:57",1.91,0.283,NA,"Freds Aerial SE","eaten",NA,NA,NA,NA,NA,"got eaten, exclude",49066.6666666666,62136.507936508,83062.4338624339,"0","108","Inceptisol","Xerept"
"159","PIPO","STAR","STAR-NW",118,124,NA,19,112,2.45,10.37,"130",0.164,"CECO",118,"CECO","CECO","CECO",400,380,260,97.5,95,90,780,1040,96.25,94.1666666666667,"Pinus","Ceanothus","Ceanothus",38,"20160706 05:32:12",2.68,0.175,NA,NA,"DONE","22","21.4","5.8","9.4","9.9",NA,39000,75075,97933.3333333334,"McCarthy","MCG","Andisol","Xerand"
"161","PIPO","STAR","STAR-NW",81,76,NA,15,108,1.45,11.75,"132",0.09,"CECO",110,"CECO","CECO","CECO",410,340,300,114,98,110,750,1050,106,107.333333333333,"Pinus","Ceanothus","Ceanothus",38,"20160706 05:59:03",3.51,0.1,NA,NA,"DEAD","13.6","14",NA,"15.5","12.8","deets in CT notebook",46740,79500,112700,"McCarthy","MCG","Andisol","Xerand"
"162","ABCO","STAR","STAR-NW",44,49,NA,12,132,1.6,2.7,"134",0.56,"PREM",92,"PREM","CECO","CECO",180,170,380,72,56.6666666666667,90,350,730,64.3333333333333,72.8888888888889,"Abies","Other","Other",38,"20160706 06:08:38",0.7,0.655,NA,NA,"DONE","16.399999999999999","16.2","4.5","3.5","1",NA,12960,22516.6666666667,53208.8888888889,"McCarthy","MCG","Andisol","Xerand"
"163","ABCO","STAR","STAR-NW",61,59,NA,12,132,2.32,6.7,"135",0.242,"CECO",129,"CECO","CECO","CECO",430,320,360,65.7142857142857,65.5555555555556,85.7142857142857,750,1110,65.6349206349206,72.3280423280423,"Abies","Ceanothus","Ceanothus",38,"20160706 06:11:47",2.08,0.285,NA,NA,"DONE","25.4","25.2","5.0999999999999996","2.8","1.9","two stems, we measured the one with non wacky leader, DIA below split",28257.1428571428,49226.1904761905,80284.126984127,"McCarthy","MCG","Andisol","Xerand"
"164","ABCO","STAR","STAR-NW",60,68,NA,12,132,2.4,5.09,"",NA,"PREM",129,"CECO","CECO","CECO",430,320,360,65.7142857142857,65.5555555555556,85.7142857142857,750,1110,65.6349206349206,72.3280423280423,"Abies","Ceanothus","Other",38,NA,NA,NA,NA,NA,"DONE","23.7","24.6","20.5","8.6999999999999993","2.8",NA,28257.1428571428,49226.1904761905,80284.126984127,"McCarthy","MCG","Andisol","Xerand"
"166","ABCO","STAR","STAR-NW",46,48,NA,19,130,0.75,3.95,"",NA,"PREM",124,"PREM","PREM","PREM",490,420,400,142,134,120,910,1310,138,132,"Abies","Other","Other",38,NA,NA,NA,NA,NA,"DONE","9.5","8.6","5.0999999999999996","5.9","5.0999999999999996",NA,69580,125580,172920,"McCarthy","MCG","Andisol","Xerand"
"167","PIPO","STAR","STAR-NW",134,235,NA,19,130,6.4,26.36,"",NA,"PREM",160,"PREM","PREM","PREM",380,330,360,116.666666666667,117.5,130,710,1070,117.083333333333,121.388888888889,"Pinus","Other","Other",38,NA,NA,NA,NA,NA,"DONE","72.599999999999994","66.5","31","37.5","28","double checked ht; DIA with tape 72",44333.3333333335,83129.1666666664,129886.111111111,"McCarthy","MCG","Andisol","Xerand"
"168","PIPO","STAR","STAR-NW",186,200,NA,11,111,3.3,15.65,"",NA,"none",0,"CECO","CECO","CECO",400,400,400,155,130,135,800,1200,142.5,140,"Pinus","Ceanothus","Other",38,NA,NA,NA,NA,NA,"DONE","43.1","40","15","31","20",NA,62000,114000,168000,"McCarthy","MCG","Andisol","Xerand"
"169","PIPO","STAR","STAR-NW",66,190,NA,14,120,2.46,6,"",NA,"CECO",102,"CECO","CECO","CECO",390,430,370,120,123.333333333333,144,820,1190,121.666666666667,129.111111111111,"Pinus","Ceanothus","Ceanothus",38,NA,NA,NA,NA,NA,"DONE","46.9","46","16","12.2","12.6","height measured incorrectly last year (stem bends under log)",46800,99766.6666666669,153642.222222222,"McCarthy","MCG","Andisol","Xerand"
"170","ABCO","STAR","STAR-NW",64,48,NA,17,182,1.46,2.31,"137",0.127,"CEIN",210,"CEIN","CEIN","CEIN",390,330,350,170,157.5,138,720,1070,163.75,155.166666666667,"Abies","Ceanothus","Ceanothus",38,"20160706 07:04:32",3.01,0.148,NA,NA,"DONE","7.9","8.5","2.2000000000000002","2.8","1.5",NA,66300,117900,166028.333333334,"McCarthy","MCG","Andisol","Xerand"
"171","PIPO","STAR","STAR-NW",119,205,NA,17,182,6.75,15.66,"136",0.236,"none",0,"CEIN","CEIN","CEIN",280,340,270,145,124,140,620,890,134.5,136.333333333333,"Pinus","Ceanothus","Other",38,"20160706 07:01:05",2.01,0.265,NA,NA,"DONE","85","85","12.5","20.3","18",NA,40600,83390,121336.666666666,"McCarthy","MCG","Andisol","Xerand"
"172","ABCO","STAR","STAR-NW",44,39,NA,17,182,1.2,3.74,"138",0.096,"conifer",170,"CEIN","CEIN","CEIN",280,340,270,145,124,140,620,890,134.5,136.333333333333,"Abies","Ceanothus","Other",38,"20160706 07:08:30",3.34,0.116,NA,NA,"DONE","11.4","12.4","0","2.1","4.2",NA,40600,83390,121336.666666666,"McCarthy","MCG","Andisol","Xerand"
"176","PIPO","STAR","STAR-mid",98,NA,NA,NA,176,3.02,5.61,"",NA,"CEIN",190,"CECO","CECO","CECO",460,400,400,158.75,145,157.5,860,1260,151.875,153.75,"Pinus","Ceanothus","Ceanothus",38,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA,"really hard to get to, and thunder started",73025,130612.5,193725,"0","PTE","Inceptisol","Xerept"
"179","ABCO","STAR","STAR-S",56,54,NA,7,31,0.85,5.7,"141",0.259,"ARPA",167,"ARPA","CECO","CECO",460,450,400,131.428571428571,116.666666666667,145.714285714286,910,1310,124.047619047619,131.269841269841,"Abies","Arcto","Arcto",38,"20160707 05:20:19",1.9,0.28,NA,NA,"DONE","8.3000000000000007","8.3000000000000007","3.6","5.0999999999999996","5.3",NA,60457.1428571427,112883.333333333,171963.492063492,"Ahart","ACF","Andisol","Xerand"
