COMP	DATE	TIME	SEEDLING	SPECIES	HEIGHT	DEAD_ALIVE	BAS_DIA_1_mm	BAS_DIA_2_mm	LAST_YR_GR_cm	MINUS_1_GR_cm	MINUS_2_GR_cm	PERC_NEEDLES	NEEDLE_COLOR	BARK	BUDS	Growing?	SUPPRESSED	NOTES	Cut_at_bottom	DEAD	PAIR	death_year
180	9/7/2017	5:06:00 PM	232	ABCO	48	DEAD	7.9	7.6	0	11.4	8.2	99	red	intact	intact	no	yes	NA	NA	1	232	2017
180	9/7/2017	5:26:00 PM	233	ABCO	22	DEAD	3.4	3.6	0.9	5.2	2.7	99	red	intact	not formed	yes	yes	NA	NA	1	233	2017
180	9/7/2017	5:09:00 PM	234	ABCO	53	DEAD	8.5	8.2	9.4	9.3	5.7	99	red	lightly cracking over 7 cm	intact	no	yes	NA	NA	1	234	2016
180	9/7/2017	5:09:00 PM	235	ABCO	37	DEAD	4	4.6	5	8.6	2.2	90	red	intact	intact	no	yes	leader died in 2014	NA	1	235	2016
180	8/23/2017	NA	100B	ABCO	23	ALIVE	2.2	2.2	2.8	4.2	5.3	NA	NA	NA	NA	NA	yes	NA	NA	0	100	2017
180	8/17/2017	NA	101B	ABCO	52	ALIVE	8	7.9	8.7	9.2	2.3	NA	NA	NA	NA	NA	YES	NA	NA	0	101	2017
180	8/23/2017	NA	102B	ABCO	32	ALIVE	4.1	4.1	6.9	6.3	6	NA	NA	NA	NA	NA	yes	NA	NA	0	102	2016
180	8/16/2017	NA	106B	PIPO	56	ALIVE	7.8	7.8	5.8	7.8	7.5	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	106	2015
180	8/16/2017	NA	107B	PIPO	46	ALIVE	6.3	6.2	9.7	7.6	9.5	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	107	2015
180	8/16/2017	NA	109B	PIPO	26	ALIVE	4.2	4.5	5	5.7	4.5	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	109	2016
180	8/17/2017	NA	10B	PIPO	52	ALIVE	7.6	7.5	8.3	8	8.4	NA	NA	NA	NA	NA	YES	NA	NA	0	10	2016
180	8/16/2017	NA	110B	PIPO	30	ALIVE	4.6	4.9	5.9	4.9	4.1	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	110	2015
180	8/23/2017	NA	111B	ABCO	34	ALIVE	9.5	9.5	3.8	3.6	4.7	NA	NA	NA	NA	NA	no	NA	NA	0	111	2016
180	8/16/2017	NA	115B	PIPO	38	ALIVE	4	4	2.3	5.7	7.8	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	115	2016
180	8/16/2017	NA	117B	ABCO	82	ALIVE	12	12.8	11.1	11.1	13.8	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	117	2016
180	8/16/2017	NA	118B	PIPO	57	ALIVE	7.7	7.9	12.3	4.5	9.4	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	118	2016
180	8/17/2017	NA	11B	PIPO	60	ALIVE	6.1	6.7	9.8	8.3	9.3	NA	NA	NA	NA	NA	YES	NA	NA	0	11	2016
180	8/16/2017	NA	120B	ABCO	51	ALIVE	6.3	6.5	0.3	7.6	5.9	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	120	2015
180	8/16/2017	NA	121B	PIPO	23	ALIVE	5.2	5.2	3.5	1.4	3.8	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	121	2015
180	8/16/2017	NA	122B	PIPO	47	ALIVE	7	6.9	8.1	9	7.3	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	122	2016
180	8/16/2017	NA	123B	PIPO	53	ALIVE	6	5.9	7.7	7.4	5.9	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	123	2015
180	8/16/2017	NA	124B	PIPO	69	ALIVE	11.5	11.6	1.6	3.1	6.8	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	124	2015
