Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
43	PIPO	AMRC	AMRC-NW	15	1598	739022	4298073	6	287	0.53	Data_Sheet_AMRC_NW_JUN_21_5	6/21/2016	9/9/9999	0	CT vf	LIDE	260	77.69230769	9	Shrubs_Summer17_AMRC_2_Sep11	5.3	5.4	4	39.23369975	-120.6487338	0.933737606	0.972121342	2017	3.5	11.5	2008	15
44	PIPO	AMRC	AMRC-NW	20	1598	739022	4298073	22	22	0.59	Data_Sheet_AMRC_NW_JUN_21_5	6/21/2016	9/9/9999	0	CT vf	LIDE	360	48.61111111	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	6.6	6.6	4	39.23373349	-120.6483509	0.705430489	0.706636452	2017	2.8	17.2	2008	20
46	ABCO	AMRC	AMRC-NW	53	1598	739022	4298073	22	22	1.7	Data_Sheet_AMRC_NW_JUN_21_5	6/21/2016	9/9/9999	0	CT vf	ARPA	420	45.23809524	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	18.1	19.1	4	39.2340466	-120.6481866	0.705427589	0.706633552	2017	5.8	47.2	2008	53
48	ABCO	AMRC	AMRC-NW	78	1598	739022	4298073	19	22	1.95	Data_Sheet_AMRC_NW_JUN_21_5	6/21/2016	9/9/9999	0	CT vf	Other	270	43.88888889	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	20.9	20.5	4	39.234092	-120.64814	0.744896584	0.745944678	2017	4.1	73.9	2008	78
51	ABCO	AMRC	AMRC-NE	66	1966	739619	4297391	17	188	1.18	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	990	41.31313131	9	Shrubs_Summer17_AMRC_2_Sep11	12.8	12	4	39.23821461	-120.5939482	1.040773036	1.01376757	2017	7.5	58.5	2008	66
52	ABCO	AMRC	AMRC-NE	42	1966	739619	4297391	17	188	0.8	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	930	48.27956989	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	8.2	8.4	4	39.23823981	-120.5939368	1.040772801	1.013767335	2017	6.7	35.3	2008	42
53	ABCO	AMRC	AMRC-NE	32	1966	739619	4297391	17	188	0.69	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	1020	51.76470588	9	Shrubs_Summer17_AMRC_2_Sep11	5.3	6.1	4	39.23827211	-120.5939456	1.040772501	1.013767035	2017	3.9	28.1	2008	32
54	ABCO	AMRC	AMRC-NE	48	1966	739619	4297391	17	188	1.05	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	880	50.68181818	9	Shrubs_Summer17_AMRC_2_Sep11	11.1	10.8	4	39.238265	-120.5939253	1.040772567	1.013767101	2017	7.7	40.3	2008	48
55	ABCO	AMRC	AMRC-NE	68	1966	739619	4297391	17	188	1.2	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	880	50.68181818	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	13.9	14	4	39.23828231	-120.5939492	1.040772406	1.01376694	2017	8.4	59.6	2008	68
56	ABCO	AMRC	AMRC-NE	84	1966	739619	4297391	17	188	1.19	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	810	48.39506173	9	Shrubs_Summer17_AMRC_2_Sep11	15.1	15.5	4	39.23829961	-120.5939731	1.040772245	1.013766779	2017	8.6	75.4	2008	84
57	ABCO	AMRC	AMRC-NE	35	1966	739619	4297391	17	188	0.64	Data_Sheet_AMRC_NE_JUN_21_1	6/21/2016	9/9/9999	0	CT vf	CHSE	960	41.5625	9	Shrubs_Summer17_AMRC_2_Sep11	5.5	5.3	4	39.238265	-120.5940204	1.040772567	1.013767101	2017	5.5	29.5	2008	35
61	ABCO	AMRC	AMRC-NW	34	1601	0	0	14	127	0.77	Data_Sheet_AMRC_NW_JUN_21_5	6/22/2016	9/9/9999	0	CT vf 	ARPA	360	42.77777778	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	6.2	6.2	4	39.23435971	-120.6480223	0.986443088	0.900039164	2017	2.3	31.7	2008	34
62	PIPO	AMRC	AMRC-NW	58	1601	0	0	14	135	1.24	Data_Sheet_AMRC_NW_JUN_21_5	6/22/2016	9/9/9999	0	CT vf 	ARPA	640	51.25	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	14.1	14.5	4	39.23435971	-120.6480223	0.998720776	0.916267632	2017	6.7	51.3	2008	58
63	PIPO	AMRC	AMRC-NW	15	1601	0	0	14	140	0.45	Data_Sheet_AMRC_NW_JUN_21_5	6/22/2016	9/9/9999	0	CT vf 	ARPA	540	36.2962963	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	4.8	4.5	4	39.23435971	-120.6480223	1.005593282	0.926430546	2017	2.2	12.8	2008	15
64	PIPO	AMRC	AMRC-NW	94	1601	0	0	14	140	2.69	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	ARPA	480	66.25	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	37.3	40.9	4	39.23443513	-120.6479591	1.00559258	0.926429845	2017	21.5	72.5	2008	94
65	PIPO	AMRC	AMRC-NW	66	1601	0	0	14	140	1.59	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	ARPA	380	69.21052632	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	16.6	17.2	4	39.23443513	-120.6479591	1.00559258	0.926429845	2017	6.9	59.1	2008	66
69	PIPO	AMRC	AMRC-NW	18	1601	0	0	12	185	0.51	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	ARPA	300	65.33333333	9	Shrubs_Summer17_AMRC_2_Sep11	4.8	5.5	4	39.23440423	-120.6483648	1.025229603	1.002165455	2017	3.4	14.6	2008	18
71	PIPO	AMRC	AMRC-NW	30	1601	0	0	14	235	0.76	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	ARPA	1070	54.85981308	9	Shrubs_Summer17_AMRC_2_Sep11	6	6.6	4	39.23443003	-120.6484323	0.983149635	1.03110182	2017	3.3	26.7	2008	30
72	PIPO	AMRC	AMRC-NW	25	1601	0	0	12	210	0.78	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	ARPA	810	59.38271605	9	Shrubs_Summer17_AMRC_2_Sep11	7.3	7.6	4	39.23441018	-120.6485493	1.012184835	1.0221962	2017	5.6	19.4	2008	25
73	ABCO	AMRC	AMRC-2	61	1672	0	0	21	299	1.06	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	CECO	1070	84.01869159	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	7.8	7.5	4	39.2196842	-120.6198984	0.79524706	0.926601615	2017	8.1	52.9	2008	61
76	ABCO	AMRC	AMRC-2	55	1672	0	0	11	303	1.26	Data_Sheet_AMRC_NW_JUN_22_1	6/22/2016	9/9/9999	0	CT vf 	CECO	1220	46.55737705	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	10.5	10.5	4	39.2196223	-120.6196723	0.879741867	0.948953909	2017	6.8	48.2	2008	55
